type,heat_gain
female,1.9
female,1.6
female,1.4
female,1.1
female,1.6
female,1.8
female,1.9
female,1.7
female,1.5
female,1.8
female,1.7
female,1.7
female,1.8
female,1.7
female,1.8
female,2
female,1.8
female,1.7
female,1.6
female,1.6
female,1.5
male_intact,1.9
male_intact,1.2
male_intact,1
male_intact,0.9
male_intact,1.4
male_intact,1
male_intact,1.3
male_intact,1.4
male_intact,1.1
male_intact,1
male_intact,1.4
male_intact,1.2
male_intact,1.4
male_intact,1.4
male_intact,1.5
male_intact,1.5
male_intact,1.1
male_intact,1.4
male_intact,1.3
male_intact,1.3
male_intact,1.3
male_minor_removed,1.2
male_minor_removed,1
male_minor_removed,0.9
male_minor_removed,0.8
male_minor_removed,1.2
male_minor_removed,0.9
male_minor_removed,1.1
male_minor_removed,1.1
male_minor_removed,1.3
male_minor_removed,1.3
male_minor_removed,1.3
male_minor_removed,1.1
male_minor_removed,1.4
male_minor_removed,1.5
male_minor_removed,1.4
male_minor_removed,1.4
male_minor_removed,1.2
male_minor_removed,1.4
male_minor_removed,1.3
male_minor_removed,1.2
male_minor_removed,1.4
male_major_removed,1.2
male_major_removed,0.9
male_major_removed,1.4
male_major_removed,1.2
male_major_removed,1.2
male_major_removed,1.6
male_major_removed,1.9
male_major_removed,1.4
male_major_removed,1.4
male_major_removed,1.4
male_major_removed,1.6
male_major_removed,1.4
male_major_removed,1.7
male_major_removed,1.3
male_major_removed,1.5
male_major_removed,1.2
male_major_removed,1.3
male_major_removed,1.6
male_major_removed,1.5
male_major_removed,1.5
male_major_removed,1.5
