"","host_species","egg_length","body_weight"
"1","Hedge Sparrow",20.85,102.941277135546
"2","Hedge Sparrow",21.65,109.401859945332
"3","Hedge Sparrow",22.05,104.08622832554
"4","Hedge Sparrow",22.85,120.271684812827
"5","Hedge Sparrow",23.05,113.077046630892
"6","Hedge Sparrow",23.05,106.177189695292
"7","Hedge Sparrow",23.05,114.024574314571
"8","Hedge Sparrow",23.05,115.529948230775
"9","Hedge Sparrow",23.45,115.354688109921
"10","Hedge Sparrow",23.85,110.867669677062
"11","Hedge Sparrow",23.85,121.770687010705
"12","Hedge Sparrow",23.85,115.039059418469
"13","Hedge Sparrow",24.05,109.372556516749
"14","Hedge Sparrow",25.05,101.811800676935
"15","Meadow Pipit",19.65,111.049585508859
"16","Meadow Pipit",20.05,104.830398345909
"17","Meadow Pipit",20.65,106.202858421406
"18","Meadow Pipit",20.85,112.363017264112
"19","Meadow Pipit",21.65,113.227327170589
"20","Meadow Pipit",21.65,111.863407927305
"21","Meadow Pipit",21.65,113.813864229649
"22","Meadow Pipit",21.85,113.392817804386
"23","Meadow Pipit",21.85,109.147389900191
"24","Meadow Pipit",21.85,96.7638898248198
"25","Meadow Pipit",22.05,112.818954487368
"26","Meadow Pipit",22.05,108.763227562826
"27","Meadow Pipit",22.05,108.165226959768
"28","Meadow Pipit",22.05,100.275485696604
"29","Meadow Pipit",22.05,106.231099669348
"30","Meadow Pipit",22.05,111.607649361198
"31","Meadow Pipit",22.05,117.252077309174
"32","Meadow Pipit",22.05,108.483273635942
"33","Meadow Pipit",22.05,111.426029669356
"34","Meadow Pipit",22.05,108.777169756503
"35","Meadow Pipit",22.25,101.237642659028
"36","Meadow Pipit",22.25,107.010032620202
"37","Meadow Pipit",22.25,107.134260277738
"38","Meadow Pipit",22.25,109.144119619733
"39","Meadow Pipit",22.25,116.100152231903
"40","Meadow Pipit",22.25,114.079054490745
"41","Meadow Pipit",22.25,108.512858422478
"42","Meadow Pipit",22.25,107.979829919181
"43","Meadow Pipit",22.45,114.081780252428
"44","Meadow Pipit",22.45,113.239979192042
"45","Meadow Pipit",22.45,105.767465832703
"46","Meadow Pipit",22.65,106.055029058227
"47","Meadow Pipit",22.65,112.487491772821
"48","Meadow Pipit",22.85,115.311197547093
"49","Meadow Pipit",22.85,110.025922727099
"50","Meadow Pipit",22.85,115.986646358725
"51","Meadow Pipit",22.85,113.088635282202
"52","Meadow Pipit",23.05,107.427841640495
"53","Meadow Pipit",23.25,113.546718148547
"54","Meadow Pipit",23.25,104.723821423515
"55","Meadow Pipit",23.45,120.498142210206
"56","Meadow Pipit",23.65,124.182399391035
"57","Meadow Pipit",23.85,110.496671141201
"58","Meadow Pipit",24.25,107.235192242101
"59","Meadow Pipit",24.45,117.318317764654
"60","Pied Wagtail",21.05,106.289672376715
"61","Pied Wagtail",21.85,123.109706563029
"62","Pied Wagtail",21.85,108.464559983601
"63","Pied Wagtail",21.85,112.838436174705
"64","Pied Wagtail",22.05,109.268012952684
"65","Pied Wagtail",22.45,105.440360746706
"66","Pied Wagtail",22.65,111.432753797086
"67","Pied Wagtail",23.05,100.270248226654
"68","Pied Wagtail",23.05,119.893329169377
"69","Pied Wagtail",23.25,112.419520029271
"70","Pied Wagtail",23.45,124.935670022173
"71","Pied Wagtail",24.05,115.953057173398
"72","Pied Wagtail",24.05,108.840321414469
"73","Pied Wagtail",24.05,116.764358120934
"74","Pied Wagtail",24.85,109.095414210134
"75","Robin",21.05,99.5781995985654
"76","Robin",21.85,110.448677413105
"77","Robin",22.05,106.440248760689
"78","Robin",22.05,109.10663210979
"79","Robin",22.05,109.54604794491
"80","Robin",22.25,105.962874322872
"81","Robin",22.45,106.487987603089
"82","Robin",22.45,109.088928309257
"83","Robin",22.65,117.368521979439
"84","Robin",23.05,101.958599197421
"85","Robin",23.05,114.663677125771
"86","Robin",23.05,113.097702227281
"87","Robin",23.05,117.478599023658
"88","Robin",23.05,109.274896458194
"89","Robin",23.25,113.720112859498
"90","Robin",23.85,114.302592744633
"91","Tree Pipit",21.05,103.84487981405
"92","Tree Pipit",21.85,115.947206835899
"93","Tree Pipit",22.05,116.06241569417
"94","Tree Pipit",22.45,114.10128189709
"95","Tree Pipit",22.65,119.821000727245
"96","Tree Pipit",23.25,114.850918553392
"97","Tree Pipit",23.25,103.840446749252
"98","Tree Pipit",23.25,108.060407514579
"99","Tree Pipit",23.45,104.55232431061
"100","Tree Pipit",23.45,109.059596181364
"101","Tree Pipit",23.65,108.577799936655
"102","Tree Pipit",23.85,112.952695238865
"103","Tree Pipit",24.05,107.634470108685
"104","Tree Pipit",24.05,114.048172634424
"105","Tree Pipit",24.05,109.172492136487
"106","Wren",19.85,115.303723616236
"107","Wren",20.05,109.400244856103
"108","Wren",20.25,110.961045376971
"109","Wren",20.85,109.005112146958
"110","Wren",20.85,116.793056483117
"111","Wren",20.85,102.885581276306
"112","Wren",21.05,104.330131617837
"113","Wren",21.05,115.69369343125
"114","Wren",21.05,103.195821880138
"115","Wren",21.25,106.255715538388
"116","Wren",21.45,105.543152423348
"117","Wren",22.05,107.180042788709
"118","Wren",22.05,107.425320182141
"119","Wren",22.05,112.065129987607
"120","Wren",22.25,108.436017106382
